address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
5700 49th St,Air Conditioning,"80,000 SF",Maspeth,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,80,000 SF,Property Type,Industrial,Year Built,1946,Property Subtype,Warehouse",1/31/2018,15599059,$2.00 SF/Mo,Industrial,"80,000 SF",1 Space,NY,For Lease,Industrial,"[('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '6 min drive', '2.5 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '6 min drive', '2.5 mi'), ('La Guardia Airport', '11 min drive', '5.6 mi'), ('John F. Kennedy International Airport', '20 min drive', '12.9 mi'), ('Newark Liberty International Airport', '37 min drive', '17.1 mi'), ('NY - Red Hook Container Terminal', '14 min drive', '7.0 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.2 mi')]","Lighting,Heating - Gas"
334 County Route 49,Fluorescent Lighting,"104,070 SF",Middletown,"Rental Rate,$7.50 - $9.00 /SF/YR,Property Subtype,Warehouse,Total Space Available,78,000 SF,Rentable Building Area,104,070 SF,Max. Contiguous,68,000 SF,Year Built/Renovated,1977/2000,Property Type,Industrial",9/25/2019,17291498,$0.63 - $0.75 SF/Mo,Industrial,"3,500 - 78,000 SF",7 Spaces,NY,For Lease,"Office, Industrial","[('Middletown New York Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '19 min drive', '7.5 mi'), ('Stewart International Airport', '38 min drive', '24.1 mi'), ('Port Newark Container Terminal', '99 min drive', '73.4 mi'), ('MHF, Inc.', '74 min drive', '49.2 mi')]","Lighting - Fluorescent,Water,Sewer,Heating"
3714 30th St,,"9,100 SF",Long Island City,"Rental Rate,$27.00 /SF/YR,Rentable Building Area,9,100 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",3/14/2020,18872394,$2.25 SF/Mo,Industrial,"4,000 SF",1 Space,NY,For Lease,Office,,Heating - Gas
63-15 Traffic Ave,Property Manager on Site,"213,000 SF",Ridgewood,"Rental Rate,$18.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,25,000 SF,Rentable Building Area,213,000 SF,Property Type,Industrial,Year Built,1965",3/15/2020,18881312,$1.50 SF/Mo,Industrial,"25,000 - 84,000 SF",1 Space,NY,For Lease,Industrial,"[('Fresh Pond Road Transit Stop', '13 min walk', '0.6 mi'), ('Forest Avenue Transit Stop', '15 min walk', '0.8 mi'), ('Middle Village-Metropolitan Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Seneca Avenue Transit Stop', '18 min walk', '0.9 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '8 min drive', '3.1 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '8 min drive', '3.4 mi'), ('La Guardia Airport', '12 min drive', '5.9 mi'), ('John F. Kennedy International Airport', '18 min drive', '10.5 mi'), ('Newark Liberty International Airport', '39 min drive', '17.6 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '7.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '4 min drive', '1.4 mi')]","Lighting,Water,Sewer,Heating - Gas"
4900 Rt-17m,,"15,932 SF",New Hampton,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,15,932 SF,Property Type,Industrial,Year Built,1962,Property Subtype,Warehouse",3/16/2020,18884499,$0.67 SF/Mo,Industrial,"15,900 SF",1 Space,NY,For Lease,Industrial,"[('Middletown New York Commuter Rail (Bergen County/Port Jervis, Main/Port Jervis Lines)', '12 min drive', '6.6 mi'), ('Stewart International Airport', '31 min drive', '21.6 mi'), ('Port Newark Container Terminal', '89 min drive', '69.5 mi'), ('MHF, Inc.', '72 min drive', '59.6 mi')]",
1303-1309 Randall Ave,,"18,000 SF",Bronx,"Rental Rate,$20.00 /SF/YR,Rentable Building Area,18,000 SF,Property Type,Industrial,Year Built,1958,Property Subtype,Warehouse",3/16/2020,18884826,$1.67 SF/Mo,Industrial,"18,000 SF",1 Space,NY,For Lease,Industrial,"[('Hunts Point Avenue Transit Stop', '13 min walk', '0.6 mi'), ('Longwood Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Simpson Street Transit Stop', '19 min walk', '1.0 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '6 min drive', '2.2 mi'), ('Tremont Station Commuter Rail (Harlem Line)', '7 min drive', '3.7 mi'), ('La Guardia Airport', '17 min drive', '7.9 mi'), ('John F. Kennedy International Airport', '27 min drive', '18.5 mi'), ('Newark Liberty International Airport', '42 min drive', '24.9 mi'), ('NY - Red Hook Container Terminal', '26 min drive', '15.2 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '20 min drive', '12.6 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
36 Saint Johns Pl,,"4,600 SF",Freeport,"Rental Rate,$14.50 /SF/YR,Rentable Building Area,4,600 SF,Property Type,Industrial,Year Built,1987,Property Subtype,Warehouse",3/17/2020,18894274,$1.21 SF/Mo,Industrial,"4,600 SF",1 Space,NY,For Lease,Industrial,"[('Freeport Station Commuter Rail (Babylon Branch)', '13 min walk', '0.6 mi'), ('Merrick Station Commuter Rail (Babylon Branch)', '5 min drive', '1.9 mi'), ('John F. Kennedy International Airport', '20 min drive', '14.2 mi'), ('La Guardia Airport', '29 min drive', '21.2 mi'), ('Long Island MacArthur Airport', '40 min drive', '29.7 mi'), ('NY - Red Hook Container Terminal', '35 min drive', '23.8 mi'), ('Pinter Warehouse', '24 min drive', '19.7 mi')]",Heating - Gas
5900 Firestone Dr,,"50,000 SF",Syracuse,"Rental Rate,$5.75 /SF/YR,Rentable Building Area,50,000 SF,Property Type,Industrial,Year Built,1970,Property Subtype,Warehouse",3/17/2020,18895292,$0.48 SF/Mo,Industrial,"50,000 SF",1 Space,NY,For Lease,Industrial,"[('Syracuse Hancock International Airport', '13 min drive', '5.5 mi'), ('Albany, NY Port', '167 min drive', '140.9 mi'), ('BNSF-SYRACUSE-NY', '10 min drive', '5.3 mi')]",
4000 Point St,Fenced Lot,"33,000 SF",Holtsville,"Rental Rate,$13.50 /SF/YR,Rentable Building Area,33,000 SF,Property Type,Industrial,Year Built,1989,Property Subtype,Warehouse",3/18/2020,18906584,$1.13 SF/Mo,Industrial,"9,800 SF",1 Space,NY,For Lease,Industrial,"[('Medford Station Commuter Rail (Greenport Branch)', '7 min drive', '2.6 mi'), ('Patchogue Station Commuter Rail (Montauk Branch)', '9 min drive', '4.3 mi'), ('Long Island MacArthur Airport', '14 min drive', '7.3 mi'), ('NY - Red Hook Container Terminal', '74 min drive', '58.4 mi'), ('Pinter Warehouse', '28 min drive', '18.5 mi')]",
385 W John St,"24 Hour Access,Bus Line,Fenced Lot,Raised Floor,Air Conditioning","60,000 SF",Hicksville,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,60,000 SF,Property Type,Industrial,Year Built,1985,Property Subtype,Warehouse",3/19/2020,18918195,$1.17 SF/Mo,Industrial,"20,000 SF",1 Space,NY,For Lease,Industrial,"[('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '17 min walk', '0.9 mi'), ('Westbury Station Commuter Rail (Port Jefferson Branch)', '6 min drive', '2.7 mi'), ('La Guardia Airport', '33 min drive', '22.1 mi'), ('John F. Kennedy International Airport', '30 min drive', '23.9 mi'), ('Westchester County Airport', '64 min drive', '43.5 mi'), ('NY - Red Hook Container Terminal', '43 min drive', '30.8 mi'), ('Pinter Warehouse', '24 min drive', '15.9 mi')]",Heating - Fired Oil
600 W John St,,"211,476 SF",Hicksville,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,211,476 SF,Property Type,Industrial,Year Built,1955,Property Subtype,Warehouse",3/20/2020,18930330,$1.17 SF/Mo,Industrial,"22,320 SF",1 Space,NY,For Lease,Industrial,"[('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '3 min drive', '1.3 mi'), ('Westbury Station Commuter Rail (Port Jefferson Branch)', '5 min drive', '2.2 mi'), ('La Guardia Airport', '32 min drive', '21.6 mi'), ('John F. Kennedy International Airport', '29 min drive', '23.6 mi'), ('Westchester County Airport', '63 min drive', '41.9 mi'), ('NY - Red Hook Container Terminal', '42 min drive', '30.5 mi'), ('Pinter Warehouse', '24 min drive', '18.8 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
176-240 Engineers Dr,,"30,304 SF",Hicksville,"Rental Rate,$16.42 /SF/YR,Rentable Building Area,30,304 SF,Property Type,Industrial,Year Built/Renovated,1966/1990,Property Subtype,Warehouse",3/17/2020,18895297,$1.37 SF/Mo,Industrial,"3,013 SF",1 Space,NY,For Lease,Industrial,"[('Bethpage Station Commuter Rail (Ronkonkoma Branch)', '5 min drive', '1.8 mi'), ('Hicksville Station Commuter Rail (Ronkonkoma Branch, Port Jefferson Branch, Montauk Branch)', '6 min drive', '2.7 mi'), ('John F. Kennedy International Airport', '30 min drive', '22.7 mi'), ('La Guardia Airport', '36 min drive', '24.4 mi'), ('Long Island MacArthur Airport', '38 min drive', '26.6 mi'), ('NY - Red Hook Container Terminal', '44 min drive', '32.4 mi'), ('Pinter Warehouse', '20 min drive', '13.0 mi')]",
271 Dingens St,"Fenced Lot,Security System,Storage Space","25,676 SF",Buffalo,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,25,676 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",3/23/2020,18958045,$0.67 SF/Mo,Industrial,"25,676 SF",1 Space,NY,For Lease,Industrial,"[('Buffalo Niagara International Airport', '17 min drive', '9.3 mi'), ('Albany, NY Port', '338 min drive', '287.7 mi'), ('NS THOROUGHBRED BULK TRANSFER TERMINAL-BUFFALO-NY', '5 min drive', '2.0 mi')]",
26-25 123rd St,,"23,606 SF",College Point,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,23,606 SF,Property Type,Industrial,Year Built,1953,Property Subtype,Warehouse",3/25/2020,18983080,$1.92 SF/Mo,Industrial,"10,000 SF",1 Space,NY,For Lease,Industrial,"[('Flushing-Main Street Station Commuter Rail (Port Washington Branch)', '5 min drive', '1.6 mi'), ('Mets-Willets Point Station Commuter Rail (Port Washington Branch)', '8 min drive', '2.5 mi'), ('La Guardia Airport', '9 min drive', '3.8 mi'), ('John F. Kennedy International Airport', '17 min drive', '11.4 mi'), ('Newark Liberty International Airport', '47 min drive', '27.1 mi'), ('NY - Red Hook Container Terminal', '25 min drive', '14.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '15 min drive', '8.4 mi')]",
4 Champeney Ter,,"20,280 SF",Rochester,"Rental Rate,$5.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,000 SF,Rentable Building Area,20,280 SF,Property Type,Industrial,Year Built,1987",3/23/2020,18957320,$0.42 SF/Mo,Industrial,"10,000 - 20,280 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '12 min drive', '5.9 mi'), ('Albany, NY Port', '267 min drive', '225.9 mi'), ('J. MacKenzie Limited', '18 min drive', '7.5 mi')]",
14 Commercial Ave,,"43,448 SF",Albany,"Rental Rate,$5.95 /SF/YR,Rentable Building Area,43,448 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",3/20/2020,18930927,$0.50 SF/Mo,Industrial,"31,448 SF",1 Space,NY,For Lease,Industrial,"[('Albany International Airport', '14 min drive', '6.5 mi'), ('Albany, NY Port', '18 min drive', '8.7 mi'), ('BULK TRANS-LOADING SERVICE- ALBANY-NY', '6 min drive', '1.9 mi')]",
63 Clinton St,,"7,200 SF",Center Moriches,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,7,200 SF,Property Type,Industrial,Year Built,2000,Property Subtype,Warehouse",3/25/2020,18983836,$1.00 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Industrial,"[('Mastic-Shirley Station Commuter Rail (Montauk Branch)', '9 min drive', '4.9 mi'), ('Speonk Station Commuter Rail (Montauk Branch)', '10 min drive', '5.5 mi')]","Water - City Water,Heating - Gas"
1106 River Rd,,"27,000 SF",New Windsor,"Rental Rate,$4.47 /SF/YR,Rentable Building Area,27,000 SF,Property Type,Industrial,Year Built,1997,Property Subtype,Warehouse",3/25/2020,18984997,$0.37 SF/Mo,Industrial,"27,000 SF",1 Space,NY,For Lease,Industrial,"[('Beacon Station Commuter Rail (Hudson Line)', '14 min drive', '6.9 mi')]",
147 11th St,Storage Space,"7,500 SF",Brooklyn,"Rental Rate,$31.50 /SF/YR,Rentable Building Area,7,500 SF,Property Type,Industrial,Year Built,2018,Property Subtype,Warehouse",4/2/2020,19090542,$2.63 SF/Mo,Industrial,"2,300 SF",1 Space,NY,For Lease,Industrial,,"Lighting - Halogen,Water - City Water,Sewer - City Sewer,Heating - Electric"
56-72 49th Pl,,"89,500 SF",Maspeth,"Rental Rate,$22.00 /SF/YR,Rentable Building Area,89,500 SF,Property Type,Industrial,Year Built,1961,Property Subtype,Warehouse",4/2/2020,19089937,$1.83 SF/Mo,Industrial,"5,000 SF",1 Space,NY,For Lease,Industrial,"[('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '6 min drive', '2.4 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '6 min drive', '2.4 mi'), ('La Guardia Airport', '11 min drive', '5.6 mi'), ('John F. Kennedy International Airport', '19 min drive', '12.8 mi'), ('Newark Liberty International Airport', '37 min drive', '17.0 mi'), ('NY - Red Hook Container Terminal', '14 min drive', '6.9 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.1 mi')]",
97 Storer Ave,,"8,000 SF",Staten Island,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,8,000 SF,Property Type,Industrial,Year Built,2017,Property Subtype,Warehouse",4/6/2020,19129288,$1.50 SF/Mo,Industrial,"2,000 SF",1 Space,NY,For Lease,Industrial,"[('Perth Amboy Commuter Rail (North Jersey Coast Line)', '11 min drive', '5.0 mi'), ('Woodbridge Commuter Rail (North Jersey Coast Line)', '12 min drive', '6.1 mi')]",
36 South Mall,"Bus Line,Signage,Recessed Lighting,Air Conditioning","2,125 SF",Plainview,"Rental Rate,$14.00 /SF/YR,Rentable Building Area,2,125 SF,Property Type,Industrial,Year Built,1967,Property Subtype,Warehouse",4/7/2020,19140262,$1.17 SF/Mo,Industrial,"2,125 SF",1 Space,NY,For Lease,Industrial,"[('Farmingdale Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '4.6 mi'), ('Bethpage Station Commuter Rail (Ronkonkoma Branch)', '12 min drive', '4.9 mi'), ('Long Island MacArthur Airport', '31 min drive', '20.0 mi'), ('John F. Kennedy International Airport', '37 min drive', '26.5 mi'), ('La Guardia Airport', '39 min drive', '26.6 mi'), ('NY - Red Hook Container Terminal', '50 min drive', '34.7 mi'), ('Pinter Warehouse', '15 min drive', '9.4 mi')]","Lighting,Gas - Natural,Water - County Water,Sewer - County Sewer,Heating - Gas"
11-13 Cypress Ave,,"2,200 SF",Ridgewood,"Rental Rate,$32.00 /SF/YR,Rentable Building Area,2,200 SF,Property Type,Industrial,Year Built,1942,Property Subtype,Warehouse",2/27/2020,18665638,$2.67 SF/Mo,Industrial,"2,200 SF",1 Space,NY,For Lease,Industrial,"[('Halsey Street', '7 min walk', '0.3 mi'), ('Seneca Avenue Transit Stop', '15 min walk', '0.7 mi'), ('Myrtle-Wyckoff Avenues Transit Stop', '16 min walk', '0.8 mi'), ('Forest Avenue Transit Stop', '16 min walk', '0.8 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '5 min drive', '2.0 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '9 min drive', '4.2 mi'), ('La Guardia Airport', '15 min drive', '7.9 mi'), ('John F. Kennedy International Airport', '16 min drive', '9.1 mi'), ('Newark Liberty International Airport', '39 min drive', '18.3 mi'), ('NY - Red Hook Container Terminal', '13 min drive', '6.9 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '4 min drive', '1.2 mi')]","Lighting,Gas,Water,Sewer,Heating"
65 Commerce Dr,Fenced Lot,"45,738 SF",Hauppauge,"Rental Rate,$9.95 /SF/YR,Rentable Building Area,45,738 SF,Property Type,Industrial,Year Built,1954,Property Subtype,Warehouse",3/2/2020,18713548,$0.83 SF/Mo,Industrial,"24,554 SF",1 Space,NY,For Lease,Industrial,"[('Brentwood Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '3.5 mi'), ('Deer Park Station Commuter Rail (Ronkonkoma Branch)', '10 min drive', '5.1 mi'), ('Long Island MacArthur Airport', '19 min drive', '9.9 mi'), ('John F. Kennedy International Airport', '46 min drive', '38.3 mi'), ('NY - Red Hook Container Terminal', '60 min drive', '47.9 mi'), ('Pinter Warehouse', '12 min drive', '6.2 mi')]","Lighting,Water,Sewer,Heating - Gas"
475-485 Flushing Ave,,"13,576 SF",Brooklyn,"Rental Rate,$40.00 /SF/YR,Rentable Building Area,13,576 SF,Property Type,Industrial,Year Built,1950,Property Subtype,Warehouse",2/28/2020,18680756,$3.33 SF/Mo,Industrial,"5,500 SF",1 Space,NY,For Lease,Industrial,"[('Flushing Avenue', '8 min walk', '0.4 mi'), ('Lorimer Street', '13 min walk', '0.6 mi'), ('Broadway', '13 min walk', '0.6 mi'), ('Myrtle-Willoughby Avenues Transit Stop', '13 min walk', '0.7 mi'), ('Hewes Street Transit Stop', '16 min walk', '0.8 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '4 min drive', '1.7 mi'), ('Flatbush Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '6 min drive', '2.1 mi'), ('La Guardia Airport', '15 min drive', '8.5 mi'), ('John F. Kennedy International Airport', '20 min drive', '12.1 mi'), ('Newark Liberty International Airport', '34 min drive', '15.7 mi'), ('NY - Red Hook Container Terminal', '7 min drive', '3.7 mi'), ('PORT OF NEW YORK AND NEW JERSEY', '8 min drive', '3.8 mi')]",
2112 Erie Blvd E,"Bus Line,Signage,Air Conditioning","19,000 SF",Syracuse,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,19,000 SF,Property Type,Industrial,Year Built,1948,Property Subtype,Warehouse,Cross Streets,Bruce Street",3/4/2020,18739581,$1.00 SF/Mo,Industrial,"3,000 SF",1 Space,NY,For Lease,Office,"[('Syracuse Hancock International Airport', '16 min drive', '9.4 mi'), ('Albany, NY Port', '172 min drive', '143.5 mi'), ('BNSF-SYRACUSE-NY', '15 min drive', '8.9 mi')]",
57-59 Borden Ave,,"139,780 SF",Norwich,"Rental Rate,$4.00 /SF/YR,Rentable Building Area,139,780 SF,Property Type,Industrial,Year Built/Renovated,1959/2012,Property Subtype,Warehouse,Cross Streets,Silver Street",3/4/2020,18740164,$0.33 SF/Mo,Industrial,"26,400 SF",1 Space,NY,For Lease,Industrial,,"Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
857 Lexington Ave,"Metro/Subway,Air Conditioning","9,000 SF",Brooklyn,"Rental Rate,$39.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,2,500 SF,Rentable Building Area,9,000 SF,Property Type,Industrial,Year Built,1931",3/2/2020,18716652,$3.25 SF/Mo,Industrial,"2,500 - 5,000 SF",1 Space,NY,For Lease,Retail,"[('Gates Avenue Transit Stop', '5 min walk', '0.3 mi'), ('Kosciuszko Street Transit Stop', '6 min walk', '0.3 mi'), ('Halsey Street', '12 min walk', '0.6 mi'), ('Myrtle Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Central Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '6 min drive', '2.0 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '5 min drive', '2.1 mi'), ('La Guardia Airport', '17 min drive', '9.0 mi'), ('John F. Kennedy International Airport', '17 min drive', '10.5 mi'), ('Newark Liberty International Airport', '38 min drive', '17.4 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.0 mi')]",
51-61 Maple Ave,,"13,455 SF",Haverstraw,"Rental Rate,$7.00 /SF/YR,Rentable Building Area,13,455 SF,Property Type,Industrial,Year Built/Renovated,1970/2012,Property Subtype,Warehouse",3/4/2020,18739794,$0.58 SF/Mo,Industrial,"12,847 SF",1 Space,NY,For Lease,Industrial,"[('Westchester County Airport', '41 min drive', '27.6 mi'), ('Stewart International Airport', '50 min drive', '30.3 mi'), ('La Guardia Airport', '58 min drive', '37.4 mi'), ('NY - Red Hook Container Terminal', '65 min drive', '43.1 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '43 min drive', '30.0 mi')]",
